STATION,NAME,DATE,TAVG,TMAX,TMIN,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/27/48,,58,43,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/28/48,,52,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/29/48,,55,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/30/48,,57,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/01/48,,58,32,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/02/48,,62,34,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/03/48,,60,41,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/04/48,,68,37,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/05/48,,60,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/06/48,,71,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/07/48,,61,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/08/48,,45,34,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/09/48,,55,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/10/48,,50,41,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/11/48,,71,46,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/12/48,,58,48,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/13/48,,55,48,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/14/48,,53,45,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/15/48,,70,44,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/16/48,,75,53,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/17/48,,66,51,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/18/48,,55,45,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/19/48,,58,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/20/48,,58,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/21/48,,65,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/22/48,,60,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/23/48,,57,46,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/24/48,,62,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/25/48,,64,39,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/26/48,,70,41,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/27/48,,85,45,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/28/48,,82,58,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/29/48,,67,55,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/30/48,,71,46,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",05/31/48,,72,46,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/01/48,,80,46,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/02/48,,78,50,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/03/48,,79,49,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",06/04/48,,83,51,
